workerid,trial_type,target,response,primetype,error,id,type,order,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.list,Answer.time_in_minutes
0,practice_trial,na,0.13,na,true,low_right0,filler,1,English,1,Male,24,no problem,Only our knowledge ,Yes,1,3,Windows,768,1366,Chrome,3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3O471962EP7XGOHENANPF00DMNR2UF,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$1.20,Fri Sep 28 09:52:01 PDT 2018,100,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Oct 28 09:52:01 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3SBEHTYCWO215B5WIO4R95H8QF6YIC,0,Submitted,Sat Sep 29 02:36:49 PDT 2018,Fri Sep 28 09:52:29 PDT 2018,Fri Sep 28 09:56:49 PDT 2018,,,,,,[],list1_exh,3.1429
0,practice_trial,na,0.7,na,true,high_right0,filler,2,English,1,Male,24,no problem,Only our knowledge ,Yes,1,3,Windows,768,1366,Chrome,3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3O471962EP7XGOHENANPF00DMNR2UF,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$1.20,Fri Sep 28 09:52:01 PDT 2018,100,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Oct 28 09:52:01 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3SBEHTYCWO215B5WIO4R95H8QF6YIC,0,Submitted,Sat Sep 29 02:36:49 PDT 2018,Fri Sep 28 09:52:29 PDT 2018,Fri Sep 28 09:56:49 PDT 2018,,,,,,[],list1_exh,3.1429
0,one_slider,n,0.78,no,NA,library,prime,3,English,1,Male,24,no problem,Only our knowledge ,Yes,1,3,Windows,768,1366,Chrome,3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3O471962EP7XGOHENANPF00DMNR2UF,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$1.20,Fri Sep 28 09:52:01 PDT 2018,100,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Oct 28 09:52:01 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3SBEHTYCWO215B5WIO4R95H8QF6YIC,0,Submitted,Sat Sep 29 02:36:49 PDT 2018,Fri Sep 28 09:52:29 PDT 2018,Fri Sep 28 09:56:49 PDT 2018,,,,,,[],list1_exh,3.1429
0,one_slider,n,0.65,no,NA,cookies,prime,4,English,1,Male,24,no problem,Only our knowledge ,Yes,1,3,Windows,768,1366,Chrome,3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3O471962EP7XGOHENANPF00DMNR2UF,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$1.20,Fri Sep 28 09:52:01 PDT 2018,100,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Oct 28 09:52:01 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3SBEHTYCWO215B5WIO4R95H8QF6YIC,0,Submitted,Sat Sep 29 02:36:49 PDT 2018,Fri Sep 28 09:52:29 PDT 2018,Fri Sep 28 09:56:49 PDT 2018,,,,,,[],list1_exh,3.1429
0,one_slider,n,0.28,no,NA,chairs,prime,5,English,1,Male,24,no problem,Only our knowledge ,Yes,1,3,Windows,768,1366,Chrome,3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3O471962EP7XGOHENANPF00DMNR2UF,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$1.20,Fri Sep 28 09:52:01 PDT 2018,100,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Oct 28 09:52:01 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3SBEHTYCWO215B5WIO4R95H8QF6YIC,0,Submitted,Sat Sep 29 02:36:49 PDT 2018,Fri Sep 28 09:52:29 PDT 2018,Fri Sep 28 09:56:49 PDT 2018,,,,,,[],list1_exh,3.1429
0,one_slider,n,0.61,na,NA,bus,crit,6,English,1,Male,24,no problem,Only our knowledge ,Yes,1,3,Windows,768,1366,Chrome,3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3O471962EP7XGOHENANPF00DMNR2UF,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$1.20,Fri Sep 28 09:52:01 PDT 2018,100,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Oct 28 09:52:01 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3SBEHTYCWO215B5WIO4R95H8QF6YIC,0,Submitted,Sat Sep 29 02:36:49 PDT 2018,Fri Sep 28 09:52:29 PDT 2018,Fri Sep 28 09:56:49 PDT 2018,,,,,,[],list1_exh,3.1429
0,one_slider,na,0.8,na,NA,low_right2,filler,7,English,1,Male,24,no problem,Only our knowledge ,Yes,1,3,Windows,768,1366,Chrome,3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3O471962EP7XGOHENANPF00DMNR2UF,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$1.20,Fri Sep 28 09:52:01 PDT 2018,100,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Oct 28 09:52:01 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3SBEHTYCWO215B5WIO4R95H8QF6YIC,0,Submitted,Sat Sep 29 02:36:49 PDT 2018,Fri Sep 28 09:52:29 PDT 2018,Fri Sep 28 09:56:49 PDT 2018,,,,,,[],list1_exh,3.1429
0,one_slider,some,0.37,no,NA,reunion,prime,8,English,1,Male,24,no problem,Only our knowledge ,Yes,1,3,Windows,768,1366,Chrome,3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3O471962EP7XGOHENANPF00DMNR2UF,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$1.20,Fri Sep 28 09:52:01 PDT 2018,100,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Oct 28 09:52:01 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3SBEHTYCWO215B5WIO4R95H8QF6YIC,0,Submitted,Sat Sep 29 02:36:49 PDT 2018,Fri Sep 28 09:52:29 PDT 2018,Fri Sep 28 09:56:49 PDT 2018,,,,,,[],list1_exh,3.1429
0,one_slider,some,0.69,no,NA,vote,prime,9,English,1,Male,24,no problem,Only our knowledge ,Yes,1,3,Windows,768,1366,Chrome,3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3O471962EP7XGOHENANPF00DMNR2UF,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$1.20,Fri Sep 28 09:52:01 PDT 2018,100,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Oct 28 09:52:01 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3SBEHTYCWO215B5WIO4R95H8QF6YIC,0,Submitted,Sat Sep 29 02:36:49 PDT 2018,Fri Sep 28 09:52:29 PDT 2018,Fri Sep 28 09:56:49 PDT 2018,,,,,,[],list1_exh,3.1429
0,one_slider,some,0.71,no,NA,yoga,prime,10,English,1,Male,24,no problem,Only our knowledge ,Yes,1,3,Windows,768,1366,Chrome,3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3O471962EP7XGOHENANPF00DMNR2UF,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$1.20,Fri Sep 28 09:52:01 PDT 2018,100,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Oct 28 09:52:01 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3W0XM68YZPUSYGMNG0DSKFPND8OK1H,3SBEHTYCWO215B5WIO4R95H8QF6YIC,0,Submitted,Sat Sep 29 02:36:49 PDT 2018,Fri Sep 28 09:52:29 PDT 2018,Fri Sep 28 09:56:49 PDT 2018,,,,,,[],list1_exh,3.1429
