workerid,trial_type,target,response,primetype,error,order,type,id,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,feedback,assignments,workerid,creationtime,Answer.time_in_minutes,deadline,viewhit,keywords,assignmentduration,title,assignmentapprovaltime,Answer.catch_trials,reject,assignmentstatus,hitlifetime,numpending,description,assignmentid,assignmentaccepttime,numavailable,numcomplete,assignmentsubmittime,annotation,reviewstatus,autoapprovaltime,hitstatus,autoapprovaldelay,hittypeid,assignmentrejecttime,Answer.list,reward,hitid
0,"""practice_trial""","""na""",0.32,"""na""",true,1,"""filler""","""low_right""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
0,"""practice_trial""","""na""",0.73,"""na""",false,2,"""filler""","""high_right""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
0,"""one_slider""",NA,0.66,NA,NA,3,"""prime""","""reunion""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
0,"""one_slider""",NA,0.43,NA,NA,4,"""prime""","""vote""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
0,"""one_slider""",NA,0.68,NA,NA,5,"""prime""","""yoga""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
0,"""one_slider""",NA,0.52,NA,NA,6,"""crit""","""football""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
0,"""one_slider""",NA,0.74,NA,NA,7,"""prime""","""inherit""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
0,"""one_slider""",NA,0.42,NA,NA,8,"""prime""","""birthday""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
0,"""one_slider""",NA,0.74,NA,NA,9,"""prime""","""mail""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
0,"""one_slider""",NA,0.33,NA,NA,10,"""crit""","""party""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
0,"""one_slider""",NA,0.72,NA,NA,11,"""prime""","""foodtruck""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
0,"""one_slider""",NA,0.5,NA,NA,12,"""prime""","""beer""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
0,"""one_slider""",NA,0.73,NA,NA,13,"""prime""","""wine""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
0,"""one_slider""",NA,0.47,NA,NA,14,"""crit""","""indian""","""english""","""2""","""Male""","""26""","""no issues""","""not sure ""","""Yes""","""1.20""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""30""",0,"""Wed Jun 27 13:30:47 CDT 2018""","""1.07505""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3V7ICJJAZAF8XCFCX5J1JAD0WT8B44""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Thu Jun 28 06:13:00 CDT 2018""","""[]""","""""","""Approved""","""Fri Jul 27 13:30:47 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3W2LOLRXLCEJE5JY4WX9EP2NVQZRKY""","""Wed Jun 27 13:31:44 CDT 2018""","""0""","""30""","""Wed Jun 27 13:32:53 CDT 2018""","""1 cond""","""NotReviewed""","""Thu Jun 28 06:12:53 CDT 2018""","""Reviewable""","""60000""","""3LA9UWLSKBE78CJNE7K0D2WLQ55Y19""","""""","""\""list3\""""","""$1.00""","""3V7ICJJAZAF8XCFCX5J1JAD0WT8B44"""
